name,state_id
Parc Parque, PR
Paseo Costa Del Sur, PR
Sect Lanausse, PR
Urb Eugene Rice, PR
Urb Gonzalez, PR
Urb La Fabrica, PR
Urb Monte Soria 2, PR
Villas Del Coqui, PR
Aibonito, PR
Bda San Luis, PR
Bo Llanos, PR
Brisas De Aibonito, PR
Colinas De San Francisco, PR
Est Del Llano, PR
Ext Bella Vista, PR
Ext San Luis, PR
Ext Villa Rosales, PR
Repto Robles, PR
Urb Bella Vista, PR
Urb Buena Vista, PR
Urb Golden Vlg Iv, PR
Urb La Providencia, PR
Villa De La Rosa, PR
Villa Rosales, PR
Villas Del Coqui, PR
Anasco, PR
Brisas De Anasco, PR
Est De Valle Verde, PR
Jard De Anasco, PR
Paseo Del Valle, PR
Repto Daguey, PR
Urb San Antonio, PR
Angeles, PR
Arecibo, PR
Alt De Juncos, PR
Alt De San Felipe, PR
Bda Duhamel, PR
Bo El Pasaje, PR
Bo Islote, PR
Bo Islote Ii, PR
Bo Jarealitos, PR
Bo Obrero, PR
Bo Santana, PR
Comunidad Buenos Aires, PR
Est De Arecibo, PR
Est De Balseiro, PR
Ext Marisol, PR
Ext Tanama, PR
Ext Villa Los Santos I, PR
Ext Villa Los Santos Ii, PR
Hacienda Toledo, PR
Jard De Arecibo, PR
Jard De San Rafael, PR
Parc Mattey, PR
Parc Navas, PR
Parc Perez, PR
Adjuntas, PR
Colinas Del Gigante, PR
Jard De Adjuntas, PR
Urb San Joaquin, PR
Castaner, PR
Adjuntas, PR
Aguada, PR
Alts De Aguada, PR
Bo Guaniquilla, PR
Comunidad Las Flores, PR
Ext Los Robles, PR
Urb Isabel La Catolica, PR
Aguadilla, PR
Ramey, PR
Bda Caban, PR
Bda Esteves, PR
Bo Borinquen, PR
Bo Ceiba Baja, PR
Ext El Prado, PR
Ext Marbella, PR
Repto Jimenez, PR
Repto Juan Aguiar, PR
Repto Lopez, PR
Repto Tres Palmas, PR
Sect Las Villas, PR
Urb Borinquen, PR
Urb El Prado, PR
Urb Esteves, PR
Urb Garcia, PR
Urb Las Americas, PR
Urb Las Casitas Country Club, PR
Urb Maleza Gdns, PR
Urb Marbella, PR
Urb Ramey, PR
Urb Rubianes, PR
Urb San Carlos, PR
Urb Santa Marta, PR
Urb Victoria, PR
Villa Alegria, PR
